x,y,p,u,v
0.2224080712,0.1553155035,0.4594846666,0.0,0.0
0.2209665477,0.1546155661,0.4794380963,0.0,0.0
0.2194976211,0.1539750993,0.5008208752,0.0,0.0
0.2180148959,0.153367281,0.5237975717,0.0,0.0
0.2165108323,0.1528143883,0.5502262712,0.0,0.0
0.214988187,0.1523148865,0.5769518614,0.0,0.0
0.213454321,0.1518510282,0.606567502,0.0,0.0
0.2119035274,0.1514473557,0.6398923993,0.0,0.0
0.2103402019,0.1510952711,0.6725183129,0.0,0.0
0.2087687105,0.1507817209,0.7081757188,0.0,0.0
0.2071865946,0.1505271345,0.7485521436,0.0,0.0
0.2055965811,0.1503275782,0.7877289653,0.0,0.0
0.2040019631,0.1501691788,0.828371346,0.0,0.0
0.2024031132,0.1500614434,0.8757231832,0.0,0.0
0.2008012384,0.1500178725,0.9234033823,0.0,0.0
0.1991987526,0.1500178725,0.9692651033,0.0,0.0
0.1975968778,0.1500614434,1.021292686,0.0,0.0
0.2499821335,0.1991987526,0.4227220714,0.0,0.0
0.2499385625,0.1975968778,0.4222413301,0.0,0.0
0.2498308122,0.1959980279,0.4210206568,0.0,0.0
0.2496724278,0.19440341,0.4190635383,0.0,0.0
0.2494728714,0.1928134114,0.4166746736,0.0,0.0
0.2492182851,0.1912312806,0.4139269292,0.0,0.0
0.2489047348,0.1896597892,0.4104629755,0.0,0.0
0.2485526353,0.1880964637,0.4066183269,0.0,0.0
0.2481489778,0.18654567,0.4027183056,0.0,0.0
0.2476851046,0.1850118041,0.3982486725,0.0,0.0
0.2471856177,0.1834891587,0.3936129212,0.0,0.0
0.2466327101,0.1819850951,0.3891238868,0.0,0.0
0.1975968778,0.1500614434,1.021292686,0.0,0.0
0.1959980279,0.1501691788,1.077017307,0.0,0.0
0.19440341,0.1503275782,1.129744053,0.0,0.0
0.1928134114,0.1505271345,1.185376763,0.0,0.0
0.1912312806,0.1507817209,1.246693492,0.0,0.0
0.1896597892,0.1510952711,1.306594849,0.0,0.0
0.1880964786,0.1514473557,1.367460132,0.0,0.0
0.18654567,0.1518510282,1.433687091,0.0,0.0
0.1850118041,0.1523149014,1.499248981,0.0,0.0
0.1834891737,0.1528143883,1.565657735,0.0,0.0
0.1819850951,0.153367281,1.63603723,0.0,0.0
0.18050237,0.1539751142,1.705645442,0.0,0.0
0.1790334582,0.1546155661,1.777626634,0.0,0.0
0.1775919199,0.1553155184,1.851403475,0.0,0.0
0.1761728078,0.1560598463,1.923683643,0.0,0.0
0.1747697145,0.1568339467,2.000972986,0.0,0.0
0.1734064966,0.1576762944,2.079150677,0.0,0.0
0.1720624864,0.158548981,2.154228449,0.0,0.0
0.1707441807,0.159460023,2.232376575,0.0,0.0
0.1694662571,0.1604268849,2.310971737,0.0,0.0
0.1682081074,0.1614193469,2.389153242,0.0,0.0
0.1669905484,0.1624612063,2.467602253,0.0,0.0
0.1658067256,0.1635412425,2.544391394,0.0,0.0
0.1646446586,0.1646446586,2.622334242,0.0,0.0
0.1635412425,0.1658067256,2.700892925,0.0,0.0
0.1624612063,0.1669905484,2.777913809,0.0,0.0
0.1614193469,0.1682081074,2.855554342,0.0,0.0
0.1604268849,0.1694662571,2.932422161,0.0,0.0
0.159460023,0.1707441807,3.008438826,0.0,0.0
0.158548981,0.1720624864,3.083375454,0.0,0.0
0.1576762944,0.1734064966,3.154579163,0.0,0.0
0.1568339467,0.1747697145,3.226546764,0.0,0.0
0.1560598463,0.1761728078,3.296711683,0.0,0.0
0.1553155184,0.1775919199,3.361305714,0.0,0.0
0.1546155661,0.1790334582,3.424771786,0.0,0.0
0.1539751142,0.18050237,3.485162973,0.0,0.0
0.1539751142,0.21949763000000003,3.485162973,0.0,-0.0
0.153367281,0.21801490490000003,3.541257143,0.0,-0.0
0.1528143883,0.21651082630000001,3.595095396,0.0,-0.0
0.1523149014,0.2149881959,3.643956184,0.0,-0.0
0.1518510282,0.21345433000000003,3.688672304,0.0,-0.0
0.1514473557,0.21190352140000002,3.730275393,0.0,-0.0
0.1510952711,0.2103402108,3.765990257,0.0,-0.0
0.1507817209,0.20876871940000002,3.796857834,0.0,-0.0
0.1505271345,0.20718658860000003,3.82390976,0.0,-0.0
0.1503275782,0.20559659000000002,3.845106125,0.0,-0.0
0.1501691788,0.2040019721,3.86052227,0.0,-0.0
0.1500614434,0.20240312220000004,3.871332884,0.0,-0.0
0.1500178725,0.20080124740000002,3.877429724,0.0,-0.0
