Voltage_V,Current_A,State_x
7.030303e-01,8.659075e-06,1.000000e-01
7.151515e-01,8.808369e-06,1.000000e-01
7.272727e-01,8.957664e-06,1.000000e-01
7.393939e-01,9.106958e-06,1.000000e-01
7.515152e-01,9.256253e-06,1.000000e-01
7.636364e-01,9.405547e-06,1.000000e-01
7.757576e-01,9.554841e-06,1.000000e-01
7.878788e-01,9.704136e-06,1.000000e-01
8.000000e-01,9.853430e-06,1.000000e-01
8.121212e-01,1.000272e-05,1.000000e-01
8.242424e-01,1.039951e-05,1.109091e-01
8.363636e-01,1.113576e-05,1.348141e-01
8.484848e-01,1.247435e-05,1.772284e-01
8.606061e-01,1.509952e-05,2.479283e-01
8.727273e-01,2.106404e-05,3.609343e-01
8.848485e-01,3.848604e-05,5.286875e-01
8.969697e-01,1.166909e-04,7.401104e-01
9.090909e-01,5.930332e-04,9.266287e-01
9.212121e-01,9.212121e-04,1.000000e+00
9.333333e-01,9.333333e-04,1.000000e+00
9.454545e-01,9.454545e-04,1.000000e+00
9.575758e-01,9.575758e-04,1.000000e+00
9.696970e-01,9.696970e-04,1.000000e+00
9.818182e-01,9.818182e-04,1.000000e+00
9.939394e-01,9.939394e-04,1.000000e+00
1.006061e+00,1.006061e-03,1.000000e+00
1.018182e+00,1.018182e-03,1.000000e+00
1.030303e+00,1.030303e-03,1.000000e+00
1.042424e+00,1.042424e-03,1.000000e+00
1.054545e+00,1.054545e-03,1.000000e+00
1.066667e+00,1.066667e-03,1.000000e+00
1.078788e+00,1.078788e-03,1.000000e+00
1.090909e+00,1.090909e-03,1.000000e+00
1.103030e+00,1.103030e-03,1.000000e+00
1.115152e+00,1.115152e-03,1.000000e+00
1.127273e+00,1.127273e-03,1.000000e+00
1.139394e+00,1.139394e-03,1.000000e+00
1.151515e+00,1.151515e-03,1.000000e+00
1.163636e+00,1.163636e-03,1.000000e+00
1.175758e+00,1.175758e-03,1.000000e+00
1.187879e+00,1.187879e-03,1.000000e+00
1.200000e+00,1.200000e-03,1.000000e+00
1.200000e+00,1.200000e-03,1.000000e+00
1.179798e+00,1.179798e-03,1.000000e+00
1.159596e+00,1.159596e-03,1.000000e+00
1.139394e+00,1.139394e-03,1.000000e+00
1.119192e+00,1.119192e-03,1.000000e+00
1.098990e+00,1.098990e-03,1.000000e+00
1.078788e+00,1.078788e-03,1.000000e+00
1.058586e+00,1.058586e-03,1.000000e+00
1.038384e+00,1.038384e-03,1.000000e+00
1.018182e+00,1.018182e-03,1.000000e+00
9.979798e-01,9.979798e-04,1.000000e+00
9.777778e-01,9.777778e-04,1.000000e+00
9.575758e-01,9.575758e-04,1.000000e+00
9.373737e-01,9.373737e-04,1.000000e+00
9.171717e-01,9.171717e-04,1.000000e+00
8.969697e-01,8.969697e-04,1.000000e+00
8.767677e-01,8.767677e-04,1.000000e+00
8.565657e-01,8.565657e-04,1.000000e+00
8.363636e-01,8.363636e-04,1.000000e+00
8.161616e-01,8.161616e-04,1.000000e+00
7.959596e-01,7.959596e-04,1.000000e+00
7.757576e-01,7.757576e-04,1.000000e+00
7.555556e-01,7.555556e-04,1.000000e+00
7.353535e-01,7.353535e-04,1.000000e+00
7.151515e-01,7.151515e-04,1.000000e+00
6.949495e-01,6.949495e-04,1.000000e+00
6.747475e-01,6.747475e-04,1.000000e+00
6.545455e-01,6.545455e-04,1.000000e+00
6.343434e-01,6.343434e-04,1.000000e+00
6.141414e-01,6.141414e-04,1.000000e+00
5.939394e-01,5.939394e-04,1.000000e+00
5.737374e-01,5.737374e-04,1.000000e+00
5.535354e-01,5.535354e-04,1.000000e+00
5.333333e-01,5.333333e-04,1.000000e+00
5.131313e-01,5.131313e-04,1.000000e+00
4.929293e-01,4.929293e-04,1.000000e+00
4.727273e-01,4.727273e-04,1.000000e+00
4.525253e-01,4.525253e-04,1.000000e+00
4.323232e-01,4.323232e-04,1.000000e+00
4.121212e-01,4.121212e-04,1.000000e+00
3.919192e-01,3.919192e-04,1.000000e+00
3.717172e-01,3.717172e-04,1.000000e+00
3.515152e-01,3.515152e-04,1.000000e+00
3.313131e-01,3.313131e-04,1.000000e+00
